Descricao do Procedimento;Descricao do CID;
GRAU DE RISCO MODERADO;Perda de paladar ou olfato;
GRAU DE RISCO MODERADO;Dor muscular moderada;
GRAU DE RISCO MODERADO;Febre moderada;
GRAU DE RISCO MODERADO;Dor de cabeça forte;
GRAU DE RISCO MODERADO;Sensação de fraqueza geral;
GRAU DE RISCO MODERADO;Dor abdominal moderada;
GRAU DE RISCO MODERADO;Diarreia;
GRAU DE RISCO MODERADO;Falta de ar leve;
GRAU DE RISCO MODERADO;Fadiga moderada;
GRAU DE RISCO MODERADO;Perda de apetite moderada;
GRAU DE RISCO MODERADO;Irritação na garganta moderada;
GRAU DE RISCO MODERADO;Coceira no corpo;
GRAU DE RISCO MODERADO;Erupção cutânea moderada;
GRAU DE RISCO MODERADO;Aumento dos gânglios linfáticos;
GRAU DE RISCO MODERADO;Dor muscular moderada;
GRAU DE RISCO MODERADO;Sensação de desorientação;
GRAU DE RISCO MODERADO;Tontura moderada;
GRAU DE RISCO MODERADO;Náusea moderada;
GRAU DE RISCO MODERADO;Vômitos moderados;
GRAU DE RISCO MODERADO;Inchaço moderado nas extremidades;
GRAU DE RISCO MODERADO;Pele avermelhada ou sensível;
GRAU DE RISCO MODERADO;Cãibras musculares moderadas;
GRAU DE RISCO MODERADO;Dormência nas extremidades;
GRAU DE RISCO MODERADO;Dificuldade em mover membros do corpo;
GRAU DE RISCO MODERADO;Dor no pescoço moderada;
GRAU DE RISCO MODERADO;Dor nas costas moderada;
GRAU DE RISCO MODERADO;Dor nas pernas moderada;
GRAU DE RISCO MODERADO;Sensação de peso no peito;
GRAU DE RISCO MODERADO;Batimentos cardíacos irregulares;
GRAU DE RISCO MODERADO;Pressão arterial elevada;
GRAU DE RISCO MODERADO;Alterações na visão moderada;
GRAU DE RISCO MODERADO;Zumbido nos ouvidos;
GRAU DE RISCO MODERADO;Sensação de cansaço excessivo;
GRAU DE RISCO MODERADO;Insônia moderada;
GRAU DE RISCO MODERADO;Pesadelos;
GRAU DE RISCO MODERADO;Sonolência excessiva durante o dia;
GRAU DE RISCO MODERADO;Suores noturnos moderados;
GRAU DE RISCO MODERADO;Palpitações moderadas;
GRAU DE RISCO MODERADO;Sensação de aperto no peito;
GRAU DE RISCO MODERADO;Falta de ar moderada;
GRAU DE RISCO MODERADO;Sensação de nó na garganta;
GRAU DE RISCO MODERADO;Dificuldade em engolir;
GRAU DE RISCO MODERADO;Sensação de queimação na boca e garganta;
GRAU DE RISCO MODERADO;Inchaço moderado na boca ou língua;
GRAU DE RISCO MODERADO;Sangramento nas gengivas;
GRAU DE RISCO MODERADO;Sangramento nasal moderado;
GRAU DE RISCO MODERADO;Sensação de formigamento no rosto ou extremidades;
GRAU DE RISCO MODERADO;Dor de dente moderada;
GRAU DE RISCO MODERADO;Sensibilidade à luz;
GRAU DE RISCO MODERADO;Sensibilidade ao som;
GRAU DE RISCO MODERADO;Perda de peso moderada;
GRAU DE RISCO MODERADO;Aumento moderado da sede e da micção;
GRAU DE RISCO MODERADO;Perda de peso inexplicável;
GRAU DE RISCO MODERADO;Dor de cabeça persistente;
GRAU DE RISCO MODERADO;Dor abdominal moderada;
GRAU DE RISCO MODERADO;Dificuldade em respirar;
GRAU DE RISCO MODERADO;Palpitações cardíacas;
GRAU DE RISCO MODERADO;Sudorese noturna;
GRAU DE RISCO MODERADO;Erupção cutânea generalizada;
GRAU DE RISCO MODERADO;Inchaço nos gânglios linfáticos;
GRAU DE RISCO MODERADO;Sangramento anormal;
GRAU DE RISCO MODERADO;Vômitos frequentes;
GRAU DE RISCO MODERADO;Diarreia persistente;
GRAU DE RISCO MODERADO;Dor no peito durante a atividade física;
GRAU DE RISCO MODERADO;Sensação de queimação no peito;
GRAU DE RISCO MODERADO;Visão dupla ou turva persistente;
GRAU DE RISCO MODERADO;Fadiga extrema;
GRAU DE RISCO MODERADO;Sensação de desmaio ou vertigem;
GRAU DE RISCO MODERADO;Tremores persistentes;
GRAU DE RISCO MODERADO;Dor nas articulações persistente;
GRAU DE RISCO MODERADO;Dificuldade em engolir alimentos sólidos;
GRAU DE RISCO MODERADO;Dor nos olhos ou vermelhidão persistente;
GRAU DE RISCO MODERADO;Coceira vaginal persistente;
GRAU DE RISCO MODERADO;Dor nos testículos;
GRAU DE RISCO MODERADO;Sangramento vaginal anormal;
GRAU DE RISCO MODERADO;Dor na parte inferior das costas;
GRAU DE RISCO MODERADO;Dor de garganta persistente;
GRAU DE RISCO MODERADO;Congestão pulmonar;
GRAU DE RISCO MODERADO;Aumento de volume ou dor nas mamas;
GRAU DE RISCO MODERADO;Dor ou desconforto abdominal persistente;
GRAU DE RISCO MODERADO;Problemas de memória ou confusão mental;
GRAU DE RISCO MODERADO;Mudanças no comportamento;
GRAU DE RISCO MODERADO;Alterações de humor;
GRAU DE RISCO MODERADO;Dormência ou formigamento persistente;
GRAU DE RISCO MODERADO;Perda de audição;
GRAU DE RISCO MODERADO;Dor nos dentes ao mastigar;
GRAU DE RISCO MODERADO;Sangramento nasal persistente;
GRAU DE RISCO MODERADO;Hematomas frequentes ou inexplicáveis;
GRAU DE RISCO MODERADO;Dor no pescoço persistente;
GRAU DE RISCO MODERADO;Dor nas pernas durante a atividade física;
GRAU DE RISCO MODERADO;Desmaio ou perda de consciência;
GRAU DE RISCO MODERADO;Alterações na cor da pele;
GRAU DE RISCO MODERADO;Coceira na pele que não desaparece;
GRAU DE RISCO MODERADO;Inchaço das pernas ou tornozelos;
GRAU DE RISCO MODERADO;Sede excessiva;
GRAU DE RISCO MODERADO;Inchaço no abdômen;
GRAU DE RISCO MODERADO;Dificuldade em falar ou engolir;
GRAU DE RISCO MODERADO;Dor nas costas acompanhada de febre;
GRAU DE RISCO MODERADO;Perda de sensibilidade em uma parte do corpo;
GRAU DE RISCO ALTO; Dor no peito intensa e repentina;
GRAU DE RISCO ALTO; Dificuldade em respirar ou falta de ar súbita;
GRAU DE RISCO ALTO; Desmaios ou perda de consciência sem explicação;
GRAU DE RISCO ALTO; Sangramento intenso ou hemorragia;
GRAU DE RISCO ALTO; Convulsões ou espasmos musculares;
GRAU DE RISCO ALTO; Confusão mental grave ou repentina;
GRAU DE RISCO ALTO; Fraqueza súbita em um lado do corpo;
GRAU DE RISCO ALTO; Paralisia repentina em um lado do corpo;
GRAU DE RISCO ALTO; Dor de cabeça intensa e repentina;
GRAU DE RISCO ALTO; Visão embaçada ou perda de visão súbita;
GRAU DE RISCO ALTO; Perda de consciência durante a atividade física;
GRAU DE RISCO ALTO; Dificuldade em falar ou entender a fala;
GRAU DE RISCO ALTO; Inchaço súbito das pernas, tornozelos ou pés;
GRAU DE RISCO ALTO; Dor abdominal intensa e repentina;
GRAU DE RISCO ALTO; Desconforto ou dor no peito durante a atividade física;
GRAU DE RISCO ALTO; Sangue na urina;
GRAU DE RISCO ALTO; Febre alta com calafrios e tremores;
GRAU DE RISCO ALTO; Sensação de queimação ao urinar;
GRAU DE RISCO ALTO; Dor abdominal acompanhada de vômitos;
GRAU DE RISCO ALTO; Mudanças na cor ou textura das fezes acompanhadas de dor abdominal;
GRAU DE RISCO ALTO; Perda de peso significativa sem explicação;
GRAU DE RISCO ALTO; Dor no peito acompanhada de suor frio;
GRAU DE RISCO ALTO; Sensação de desmaio acompanhada de dor no peito;
GRAU DE RISCO ALTO; Sensação de sufocamento ou falta de ar súbita;
GRAU DE RISCO ALTO; Inchaço ou vermelhidão na perna acompanhados de dor;
GRAU DE RISCO ALTO; Dor intensa nas articulações;
GRAU DE RISCO ALTO; Inchaço facial ou de garganta;
GRAU DE RISCO ALTO; Sangramento retal;
GRAU DE RISCO ALTO; Vômitos persistentes acompanhados de dor abdominal;
GRAU DE RISCO ALTO; Sangramento vaginal intenso;
GRAU DE RISCO ALTO; Dor lombar intensa e repentina;
GRAU DE RISCO ALTO; Sensação de queimação na garganta acompanhada de dificuldade em engolir;
GRAU DE RISCO ALTO; Sangramento ou hematoma inexplicável;
GRAU DE RISCO ALTO; Confusão mental acompanhada de febre alta;
GRAU DE RISCO ALTO; Inchaço das glândulas salivares;
GRAU DE RISCO ALTO; Dor na perna acompanhada de inchaço ou vermelhidão;
GRAU DE RISCO ALTO; Dor no ouvido acompanhada de febre;
GRAU DE RISCO ALTO; Sensação de dormência ou formigamento em um lado do corpo;
GRAU DE RISCO ALTO; Hemorragia nasal intensa e repentina;
GRAU DE RISCO ALTO; Sensação de choque elétrico acompanhada de dor no peito;
GRAU DE RISCO ALTO; Dor abdominal intensa acompanhada de febre alta;
GRAU DE RISCO ALTO; Dor no olho acompanhada de vermelhidão ou sensibilidade à luz;
GRAU DE RISCO ALTO; Dificuldade em mover ou levantar um dos braços ou pernas;
GRAU DE RISCO ALTO; Aumento súbito da pressão arterial;
GRAU DE RISCO ALTO; Dificuldade em engolir ou respirar acompanhada de dor no peito;
GRAU DE RISCO ALTO; Sensação de tontura ou vertigem acompanhada de perda de equilíbrio;
GRAU DE RISCO ALTO; Sangramento vaginal acompanhado de dor abdominal intensa;
GRAU DE RISCO ALTO; Dor de cabeça intensa acompanhada de náusea e vômito;
GRAU DE RISCO ALTO; Desmaio acompanhado de convulsões;
GRAU DE RISCO ALTO; Coág;
GRAU DE RISCO ALTO; diarreia, vômito, dor abdominal;
GRAU DE RISCO ALTO; Dor no peito forte, braço direto dormente e cansaço;
